id,name,party,type
UL,Ursula von der Leyen,CDU,1
LK,Lars Klingbeil,SPD,1
NR,Norbert Röttgen,CDU,1
SW,Sahra Wagenknecht,die Linke,1
CS,Constanze Stelzenmüller,,1
CL,Christian Lindner,FDP,1
KS,Karl Schlögel,,1
LM,Ljudmila Melnyk,,1
KD,Kristina Dunz,,1
EL,Egils Levitz,,1
AB,Annalena Baerbock,Bündnis 90/ die Grünen,1
FT,Frans Timmermans,,1
AM,Andrij Melnyk,,1
AGL,Alexander Graf Lambsdorf,FDP,1
ER,Egon Ramms,,1
RH,Robert Habeck,Bündnis 90/ die Grünen,1
CM,Claudia Major,,1
KP,Katja Petrowskaja,,1
RK,Roderich Kiesewetter,CDU,1
ChL,Christine Lambrecht,SPD,1
SB,Stefanie Babst,,1
CH,Christoph Heusgen,,1
MW,Marina Weisband,,1
500,Folge 500,,2
501,Folge 501,,2
502,Folge 502,,2
503,Folge 503,,2
504,Folge 504,,2