id,name,party,sector,type
UL,Ursula von der Leyen,CDU,politics,1
LK,Lars Klingbeil,SPD,politics,1
NR,Norbert Röttgen,CDU,politics,1
SW,Sahra Wagenknecht,die Linke,politics,1
CS,Constanze Stelzenmüller,,Juristin,1
CL,Christian Lindner,FDP,politics,1
KS,Karl Schlögel,,science,1
LM,Ljudmila Melnyk,,Betroffene,1
KD,Kristina Dunz,,journalism,1
EL,Egils Levitz,,politics,1
AB,Annalena Baerbock,Bündnis 90/ die Grünen,politics,1
FT,Frans Timmermans,,politics,1
AM,Andrij Melnyk,,politics,1
AGL,Alexander Graf Lambsdorf,FDP,politics,1
ER,Egon Ramms,,military,1
RH,Robert Habeck,Bündnis 90/ die Grünen,politics,1
CM,Claudia Major,,science,1
KP,Katja Petrowskaja,,literature,1
RK,Roderich Kiesewetter,CDU,politics,1
ChL,Christine Lambrecht,SPD,politics,1
SB,Stefanie Babst,,politics,1
CH,Christoph Heusgen,,politics,1
MW,Marina Weisband,,literature,1
500,Folge 500,,,2
501,Folge 501,,,2
502,Folge 502,,,2
503,Folge 503,,,2
504,Folge 504,,,2